"trainer/global_step","cn-lr0001 - _step","cn-lr0001 - _step__MIN","cn-lr0001 - _step__MAX","cn-lr0001 - val_loss","cn-lr0001 - val_loss__MIN","cn-lr0001 - val_loss__MAX","cn-lr0005 - _step","cn-lr0005 - _step__MIN","cn-lr0005 - _step__MAX","cn-lr0005 - val_loss","cn-lr0005 - val_loss__MIN","cn-lr0005 - val_loss__MAX","cn-lr001 - _step","cn-lr001 - _step__MIN","cn-lr001 - _step__MAX","cn-lr001 - val_loss","cn-lr001 - val_loss__MIN","cn-lr001 - val_loss__MAX","linear-lr0001 - _step","linear-lr0001 - _step__MIN","linear-lr0001 - _step__MAX","linear-lr0001 - val_loss","linear-lr0001 - val_loss__MIN","linear-lr0001 - val_loss__MAX","linear-lr0005 - _step","linear-lr0005 - _step__MIN","linear-lr0005 - _step__MAX","linear-lr0005 - val_loss","linear-lr0005 - val_loss__MIN","linear-lr0005 - val_loss__MAX","conv-lr0001 - _step","conv-lr0001 - _step__MIN","conv-lr0001 - _step__MAX","conv-lr0001 - val_loss","conv-lr0001 - val_loss__MIN","conv-lr0001 - val_loss__MAX","conv-lr0005 - _step","conv-lr0005 - _step__MIN","conv-lr0005 - _step__MAX","conv-lr0005 - val_loss","conv-lr0005 - val_loss__MIN","conv-lr0005 - val_loss__MAX","conv-lr001 - _step","conv-lr001 - _step__MIN","conv-lr001 - _step__MAX","conv-lr001 - val_loss","conv-lr001 - val_loss__MIN","conv-lr001 - val_loss__MAX","linear-lr001 - _step","linear-lr001 - _step__MIN","linear-lr001 - _step__MAX","linear-lr001 - val_loss","linear-lr001 - val_loss__MIN","linear-lr001 - val_loss__MAX"
"352","14","14","14","0.36314278841018677","0.36314278841018677","0.36314278841018677","14","14","14","0.26411524415016174","0.26411524415016174","0.26411524415016174","14","14","14","0.174469456076622","0.174469456076622","0.174469456076622","14","14","14","0.20422673225402832","0.20422673225402832","0.20422673225402832","14","14","14","0.15257318317890167","0.15257318317890167","0.15257318317890167","14","14","14","0.33487364649772644","0.33487364649772644","0.33487364649772644","14","14","14","0.15695719420909882","0.15695719420909882","0.15695719420909882","14","14","14","0.14407815039157867","0.14407815039157867","0.14407815039157867","14","14","14","0.14123551547527313","0.14123551547527313","0.14123551547527313"
"705","29","29","29","0.24151864647865295","0.24151864647865295","0.24151864647865295","29","29","29","0.1555556058883667","0.1555556058883667","0.1555556058883667","29","29","29","0.1426878720521927","0.1426878720521927","0.1426878720521927","29","29","29","0.17024022340774536","0.17024022340774536","0.17024022340774536","29","29","29","0.14046090841293335","0.14046090841293335","0.14046090841293335","29","29","29","0.21911494433879852","0.21911494433879852","0.21911494433879852","29","29","29","0.1392723172903061","0.1392723172903061","0.1392723172903061","29","29","29","0.13543850183486938","0.13543850183486938","0.13543850183486938","29","29","29","0.13242511451244354","0.13242511451244354","0.13242511451244354"
"1058","44","44","44","0.2078980654478073","0.2078980654478073","0.2078980654478073","44","44","44","0.14537426829338074","0.14537426829338074","0.14537426829338074","44","44","44","0.1381380707025528","0.1381380707025528","0.1381380707025528","44","44","44","0.15687328577041626","0.15687328577041626","0.15687328577041626","44","44","44","0.1364080011844635","0.1364080011844635","0.1364080011844635","44","44","44","0.16751709580421448","0.16751709580421448","0.16751709580421448","44","44","44","0.13535334169864655","0.13535334169864655","0.13535334169864655","44","44","44","0.1328486204147339","0.1328486204147339","0.1328486204147339","44","44","44","0.12964801490306854","0.12964801490306854","0.12964801490306854"
"1411","59","59","59","0.19130577147006989","0.19130577147006989","0.19130577147006989","59","59","59","0.14116279780864716","0.14116279780864716","0.14116279780864716","59","59","59","0.13562673330307007","0.13562673330307007","0.13562673330307007","59","59","59","0.1511537879705429","0.1511537879705429","0.1511537879705429","59","59","59","0.13213522732257843","0.13213522732257843","0.13213522732257843","59","59","59","0.15441323816776276","0.15441323816776276","0.15441323816776276","59","59","59","0.13330115377902985","0.13330115377902985","0.13330115377902985","59","59","59","0.13100500404834747","0.13100500404834747","0.13100500404834747","59","59","59","0.1281830221414566","0.1281830221414566","0.1281830221414566"
"1764","74","74","74","0.16934449970722198","0.16934449970722198","0.16934449970722198","74","74","74","0.1388072669506073","0.1388072669506073","0.1388072669506073","74","74","74","0.13358533382415771","0.13358533382415771","0.13358533382415771","74","74","74","0.1472032517194748","0.1472032517194748","0.1472032517194748","74","74","74","0.13013996183872223","0.13013996183872223","0.13013996183872223","74","74","74","0.14788728952407837","0.14788728952407837","0.14788728952407837","74","74","74","0.1319212168455124","0.1319212168455124","0.1319212168455124","74","74","74","0.12926071882247925","0.12926071882247925","0.12926071882247925","74","74","74","0.12719617784023285","0.12719617784023285","0.12719617784023285"
"2117","89","89","89","0.1595136523246765","0.1595136523246765","0.1595136523246765","89","89","89","0.1370118409395218","0.1370118409395218","0.1370118409395218","89","89","89","0.13232403993606567","0.13232403993606567","0.13232403993606567","89","89","89","0.1425125151872635","0.1425125151872635","0.1425125151872635","89","89","89","0.12892453372478485","0.12892453372478485","0.12892453372478485","89","89","89","0.14415055513381958","0.14415055513381958","0.14415055513381958","89","89","89","0.1308119148015976","0.1308119148015976","0.1308119148015976","89","89","89","0.12794141471385956","0.12794141471385956","0.12794141471385956","89","89","89","0.12630780041217804","0.12630780041217804","0.12630780041217804"
"2470","104","104","104","0.15526212751865387","0.15526212751865387","0.15526212751865387","104","104","104","0.13574013113975525","0.13574013113975525","0.13574013113975525","104","104","104","0.13136956095695496","0.13136956095695496","0.13136956095695496","104","104","104","0.14046458899974823","0.14046458899974823","0.14046458899974823","104","104","104","0.12829916179180145","0.12829916179180145","0.12829916179180145","104","104","104","0.141469344496727","0.141469344496727","0.141469344496727","104","104","104","0.1297173649072647","0.1297173649072647","0.1297173649072647","104","104","104","0.127154141664505","0.127154141664505","0.127154141664505","104","104","104","0.12555067241191864","0.12555067241191864","0.12555067241191864"
"2823","119","119","119","0.15262196958065033","0.15262196958065033","0.15262196958065033","119","119","119","0.13455155491828918","0.13455155491828918","0.13455155491828918","119","119","119","0.13064441084861755","0.13064441084861755","0.13064441084861755","119","119","119","0.13901615142822266","0.13901615142822266","0.13901615142822266","119","119","119","0.1276254802942276","0.1276254802942276","0.1276254802942276","119","119","119","0.13950298726558685","0.13950298726558685","0.13950298726558685","119","119","119","0.12897908687591553","0.12897908687591553","0.12897908687591553","119","119","119","0.12663030624389648","0.12663030624389648","0.12663030624389648","119","119","119","0.12484963983297348","0.12484963983297348","0.12484963983297348"
"3176","135","135","135","0.15068402886390686","0.15068402886390686","0.15068402886390686","135","135","135","0.1336669772863388","0.1336669772863388","0.1336669772863388","135","135","135","0.13002336025238037","0.13002336025238037","0.13002336025238037","135","135","135","0.13772660493850708","0.13772660493850708","0.13772660493850708","135","135","135","0.12694786489009857","0.12694786489009857","0.12694786489009857","135","135","135","0.1381438821554184","0.1381438821554184","0.1381438821554184","135","135","135","0.1281292885541916","0.1281292885541916","0.1281292885541916","135","135","135","0.12615182995796204","0.12615182995796204","0.12615182995796204","135","135","135","0.12427257746458054","0.12427257746458054","0.12427257746458054"
"3529","150","150","150","0.14904706180095673","0.14904706180095673","0.14904706180095673","150","150","150","0.13276588916778564","0.13276588916778564","0.13276588916778564","150","150","150","0.12958025932312012","0.12958025932312012","0.12958025932312012","150","150","150","0.13623949885368347","0.13623949885368347","0.13623949885368347","150","150","150","0.1264457404613495","0.1264457404613495","0.1264457404613495","150","150","150","0.1371346414089203","0.1371346414089203","0.1371346414089203","150","150","150","0.1274781972169876","0.1274781972169876","0.1274781972169876","150","150","150","0.1257348656654358","0.1257348656654358","0.1257348656654358","150","150","150","0.12365353852510452","0.12365353852510452","0.12365353852510452"
